Artist Name,Profile URL,Website,Email,Instagram,Twitter,Facebook,Linktree,YouTube,Location,Genres,Latest Release,Latest Release Date,Latest Release Precision,Sounds Like,Source Tag
RÄUS,https://rausmusic2.bandcamp.com/,https://get.bandcamp.help,,,https://twitter.com/Llobregat,,,,"Baix Llobregat, Spain",punk,OUTSIDER PUNK,2025-11-20,day,,discover
FOSCØ,https://fosco.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/contact,https://twitter.com/Facebook,https://www.facebook.com/foscoband/,,,"Elche, Spain",punk,TRES ESTACAS,2025-11-21,day,,discover
BABY JANE,https://babyjane.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Barcelona, Spain",punk,SELECCIÓ NATURALBaby Jane,2025-11-16,day,,discover
Zero Azúcar,https://zeroazucar.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Madrid, Spain",pop,Ibuprofeno y Paracetamol,2025-11-21,day,,discover
Tough Ain't Enough,https://taerecords.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Pv, Spain",punk,STREETWISE - Datorrena - MLP,2025-11-20,day,,discover
ZaragozaDesordenRecords,https://zaragozadesordenrecords.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Zaragoza, Spain",rock,Ediciones de Zaragoza Desorden del Año 2025 (Parte I)Zaragoza Desorden,2025-08-27,day,,discover
Vinyl Junkie Rekkids,https://vinyljunkierekkids.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Zaragoza, Spain",rock,VJR-012-Tame Me Tiger / R&B And Rock'N'RollSHERI & THE BEAVERS / THE BEAVERS,2025-11-18,day,,discover
Deaf Devils,https://deafdevils.bandcamp.com/,https://get.bandcamp.help,,,https://twitter.com/ture,,,,"Valencia, Spain",rock,Deaf Devils,2025-11-20,day,,discover
Harry May,https://harrymay.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/contact,,,,,"Ga, Spain",punk,Frenético (SINGLE),2025-11-19,day,,discover
gusa punk,https://gusapunk.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Madrid, Spain",punk,Gaza,2025-11-19,day,,discover
BRUX,https://brux-antiyou.bandcamp.com/,https://get.bandcamp.help,brux.antiyou@gmail.com,https://instagram.com/contact,https://twitter.com/Streaming,,,,"Barcelona, Spain",punk,Sota la influència,2025-11-18,day,,discover
Garrafa Nadal,https://garrafanadalparera.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Ib, Spain",post-punk; rock; pop; spain; punk; power pop; indie rock,Tot solet en aquest món / Antiga causa,2025-11-19,day,,discover
Turbomierda,https://turbomierda.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/Facebook,,https://www.facebook.com/profile.php?id=61552781091125,,,"Barcelona, Spain",rock,Superturbomierda vs. La tristeza infinita,2025-11-18,day,,discover
KREMÓN RECORDS bandcamp,https://kremonrecords.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/contact,,http://www.facebook.com/kremonrecords,,,"Barcelona, Spain",punk,"Glitter ""Tortura mental"" EP (en preparación)",2025-11-12,day,,discover
Riesgo Electrico ⚡,https://riesgoelectrico.bandcamp.com/,https://get.bandcamp.help,,,,,,https://youtube.com/playlist?list=PLx_2S3w2bM5h2tRdpA2oi4mIc1R3l34I2&si=pgE6kf6LfgDwyDdX,"Barcelona, Spain",rock,Punk Gamberro y Metal Epico,2025-11-21,day,,discover
Collector's Series DIY,https://collectorseriesdiy.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/contact,,https://www.facebook.com/FerriDIY,,,"Málaga, Spain",rock,[CS-064] Imagen latenteERROR DE PARALAJE,2025-11-11,day,,discover
Slow Down Records,https://slowdownrecords.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/discogs.com,https://twitter.com/Instagram,,,,"Trøndelag, Norway",punk,SDR-69 Minor Planets - Old Routines,2025-11-16,day,,discover
Chivani Records,https://chivanirecords.bandcamp.com/,https://get.bandcamp.help,,https://instagram.com/discography,https://twitter.com/utxi,,,,"Melilla, Spain",melilla; punk; punk rock ska metal,Secuestro - Cada día más fuertes,2025-11-18,day,,discover
Daft Kant,https://daftkant.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Barcelona, Spain",experimental,ARXIDUC RATOLí,2025-11-17,day,,discover
Vicky L'Arròs,https://vickylarros.bandcamp.com/,https://get.bandcamp.help,,,,,,,"Barcelona, Spain",alternative,DIUMENGE,2024-01-08,day,,discover
