Artist Name,Location,Song Title,Sounds Like,Social Link,SoundCloud Link,Played on triple J,Played on Unearthed,Release Date,Primary Genre,Date Added,Spotify Playlist,External Links,Email,Spotify_URL,Spotify_Artist_ID,Spotify_Website_URL,Email_All,Email_Type,Source Directory
Lande Hekt,,Lucky Now,,,,,,,,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/3RU6wsoh0bm0gZFHJiYRmq,3RU6wsoh0bm0gZFHJiYRmq,,,,spotify
Binta,,Make Up,,,,,,,uk r&b,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/3b7sumHiRjBxU4R71H3KfI,3b7sumHiRjBxU4R71H3KfI,,,,spotify
Charlie Noordewier,,Joy and Despair,,,,,,,uk r&b,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/0SDfEluak7Z8ML7o1K2Ljk,0SDfEluak7Z8ML7o1K2Ljk,,,,spotify
Pesolife,,BURY ME,,,,,,,"drum and bass, liquid funk",01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/7f9jDhglsest0HQ921acyT,7f9jDhglsest0HQ921acyT,,,,spotify
Mars Meddo,,OBSESSED,,,,,,,indie r&b,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/7pC4Rmm7gHq5Ey2I7tvTtX,7pC4Rmm7gHq5Ey2I7tvTtX,,,,spotify
Ellur,,Dream Of Mine,,,,,,,uk r&b,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/4uG8VYp1GLQpZVokfG2Ui7,4uG8VYp1GLQpZVokfG2Ui7,,,,spotify
Kibo,,Headside In Da Skiez (Babycham Supernova),,,,,,,uk garage,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/1htekGIYpgIzz9EDeufPwn,1htekGIYpgIzz9EDeufPwn,,,,spotify
Dominic Wright,,Love You All The Same,,,,,,,uk r&b,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/6JPpKyhX2EmJD1QqKrU9UE,6JPpKyhX2EmJD1QqKrU9UE,,,,spotify
Shy One,,I Can Tell,,,,,,,uk funky,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/6FafP4LIlZnnYNacDoW7yZ,6FafP4LIlZnnYNacDoW7yZ,,,,spotify
George Riley,,skin2skin,,,,,,,indie r&b,01/02/2026,Fresh Finds UK & IE,,,https://open.spotify.com/artist/76rh78p0cww0l4OqgKabLQ,76rh78p0cww0l4OqgKabLQ,,,,spotify
